age_group,date,state,onsets,reported
0-14,2020-02-19,14,0.0,0.0
0-14,2020-02-22,14,0.0,0.0
0-14,2020-02-23,14,0.0,0.0
0-14,2020-02-25,14,0.0,0.0
0-14,2020-02-26,14,0.0,0.0
0-14,2020-02-27,14,0.0,0.0
0-14,2020-02-28,14,0.0,0.0
0-14,2020-02-29,14,0.0,0.0
0-14,2020-03-01,14,0.0,0.0
0-14,2020-03-02,14,0.0,0.0
0-14,2020-03-03,14,0.0,0.0
0-14,2020-03-04,14,0.0,0.0
0-14,2020-03-05,14,0.0,0.0
0-14,2020-03-06,14,0.0,0.0
0-14,2020-03-07,14,0.0,0.0
0-14,2020-03-08,14,0.0,0.0
0-14,2020-03-09,14,0.0,0.0
0-14,2020-03-10,14,0.0,0.0
0-14,2020-03-11,14,0.0,0.0
0-14,2020-03-12,14,0.0,0.0
0-14,2020-03-13,14,0.0,0.0
0-14,2020-03-14,14,0.0,0.0
0-14,2020-03-15,14,0.0,0.0
0-14,2020-03-16,14,0.0,0.0
0-14,2020-03-17,14,0.0,0.0
0-14,2020-03-18,14,0.0,0.0
0-14,2020-03-19,14,0.0,0.0
0-14,2020-03-20,14,0.0,0.0
0-14,2020-03-21,14,0.0,0.0
0-14,2020-03-22,14,1.0,0.0
0-14,2020-03-23,14,0.0,0.0
0-14,2020-03-24,14,0.0,0.0
0-14,2020-03-25,14,0.0,1.0
0-14,2020-03-26,14,0.0,0.0
0-14,2020-03-27,14,0.0,0.0
0-14,2020-03-28,14,0.0,0.0
0-14,2020-03-29,14,0.0,0.0
0-14,2020-03-30,14,0.0,0.0
0-14,2020-03-31,14,0.0,0.0
0-14,2020-04-01,14,0.0,0.0
0-14,2020-04-02,14,0.0,0.0
0-14,2020-04-03,14,0.0,0.0
0-14,2020-04-04,14,0.0,0.0
0-14,2020-04-05,14,0.0,0.0
0-14,2020-04-06,14,0.0,0.0
0-14,2020-04-07,14,0.0,0.0
0-14,2020-04-08,14,0.0,0.0
0-14,2020-04-09,14,0.0,0.0
0-14,2020-04-10,14,0.0,0.0
0-14,2020-04-11,14,0.0,0.0
0-14,2020-04-12,14,1.0,0.0
0-14,2020-04-13,14,0.0,1.0
0-14,2020-04-14,14,1.0,0.0
0-14,2020-04-15,14,0.0,0.0
0-14,2020-04-16,14,0.0,0.0
0-14,2020-04-17,14,0.0,1.0
0-14,2020-04-18,14,0.0,0.0
0-14,2020-04-19,14,0.0,0.0
0-14,2020-04-20,14,1.0,0.0
0-14,2020-04-21,14,0.0,0.0
0-14,2020-04-22,14,0.0,0.0
0-14,2020-04-23,14,0.0,1.0
0-14,2020-04-24,14,0.0,0.0
0-14,2020-04-25,14,0.0,0.0
0-14,2020-04-26,14,0.0,0.0
0-14,2020-04-27,14,0.0,0.0
0-14,2020-04-28,14,0.0,0.0
0-14,2020-04-29,14,0.0,0.0
0-14,2020-04-30,14,0.0,0.0
0-14,2020-05-01,14,0.0,0.0
0-14,2020-05-02,14,2.0,1.0
0-14,2020-05-03,14,0.0,0.0
0-14,2020-05-04,14,3.0,0.0
0-14,2020-05-05,14,0.0,0.0
0-14,2020-05-06,14,1.0,2.0
0-14,2020-05-07,14,0.0,3.0
0-14,2020-05-08,14,1.0,0.0
0-14,2020-05-09,14,2.0,1.0
0-14,2020-05-10,14,3.0,1.0
0-14,2020-05-11,14,3.0,2.0
0-14,2020-05-12,14,1.0,0.0
0-14,2020-05-13,14,3.0,2.0
0-14,2020-05-14,14,6.0,7.0
0-14,2020-05-15,14,0.0,5.0
0-14,2020-05-16,14,1.0,1.0
0-14,2020-05-17,14,0.0,0.0
0-14,2020-05-18,14,0.0,1.0
0-14,2020-05-19,14,0.0,0.0
0-14,2020-05-20,14,4.0,0.0
0-14,2020-05-21,14,3.0,2.0
0-14,2020-05-22,14,4.0,3.0
0-14,2020-05-23,14,1.0,2.0
0-14,2020-05-24,14,4.0,0.0
0-14,2020-05-25,14,1.0,4.0
0-14,2020-05-26,14,3.0,4.0
0-14,2020-05-27,14,6.0,4.0
0-14,2020-05-28,14,1.0,4.0
0-14,2020-05-29,14,4.0,1.0
0-14,2020-05-30,14,4.0,6.0
0-14,2020-05-31,14,2.0,1.0
0-14,2020-06-01,14,5.0,1.0
0-14,2020-06-02,14,6.0,7.0
0-14,2020-06-03,14,3.0,1.0
0-14,2020-06-04,14,1.0,5.0
0-14,2020-06-05,14,4.0,8.0
0-14,2020-06-06,14,4.0,0.0
0-14,2020-06-07,14,0.0,1.0
0-14,2020-06-08,14,0.0,2.0
0-14,2020-06-09,14,2.0,3.0
0-14,2020-06-10,14,1.0,2.0
0-14,2020-06-11,14,2.0,2.0
0-14,2020-06-12,14,1.0,0.0
0-14,2020-06-13,14,1.0,1.0
0-14,2020-06-14,14,1.0,0.0
0-14,2020-06-15,14,4.0,1.0
0-14,2020-06-16,14,0.0,2.0
0-14,2020-06-17,14,2.0,4.0
0-14,2020-06-18,14,1.0,2.0
0-14,2020-06-19,14,1.0,0.0
0-14,2020-06-20,14,3.0,1.0
0-14,2020-06-21,14,1.0,0.0
0-14,2020-06-22,14,3.0,1.0
0-14,2020-06-23,14,1.0,4.0
0-14,2020-06-24,14,0.0,1.0
0-14,2020-06-25,14,2.0,1.0
0-14,2020-06-26,14,1.0,2.0
0-14,2020-06-27,14,1.0,1.0
0-14,2020-06-28,14,2.0,2.0
0-14,2020-06-29,14,2.0,2.0
0-14,2020-06-30,14,4.0,3.0
0-14,2020-07-01,14,1.0,1.0
0-14,2020-07-02,14,2.0,1.0
0-14,2020-07-03,14,2.0,3.0
0-14,2020-07-04,14,0.0,2.0
0-14,2020-07-05,14,1.0,1.0
0-14,2020-07-06,14,3.0,1.0
0-14,2020-07-07,14,1.0,0.0
0-14,2020-07-08,14,3.0,3.0
0-14,2020-07-09,14,2.0,4.0
0-14,2020-07-10,14,0.0,1.0
0-14,2020-07-11,14,1.0,0.0
0-14,2020-07-12,14,2.0,1.0
0-14,2020-07-13,14,2.0,1.0
0-14,2020-07-14,14,2.0,3.0
0-14,2020-07-15,14,1.0,1.0
0-14,2020-07-16,14,5.0,3.0
0-14,2020-07-17,14,2.0,5.0
0-14,2020-07-18,14,1.0,0.0
0-14,2020-07-19,14,2.0,2.0
0-14,2020-07-20,14,3.0,1.0
0-14,2020-07-21,14,0.0,1.0
0-14,2020-07-22,14,1.0,0.0
0-14,2020-07-23,14,1.0,1.0
0-14,2020-07-24,14,3.0,2.0
0-14,2020-07-25,14,0.0,1.0
0-14,2020-07-26,14,2.0,1.0
0-14,2020-07-27,14,2.0,5.0
0-14,2020-07-28,14,1.0,3.0
0-14,2020-07-29,14,2.0,2.0
0-14,2020-07-30,14,0.0,1.0
0-14,2020-07-31,14,4.0,3.0
0-14,2020-08-01,14,1.0,2.0
0-14,2020-08-02,14,3.0,0.0
0-14,2020-08-03,14,4.0,2.0
0-14,2020-08-04,14,1.0,0.0
0-14,2020-08-05,14,5.0,5.0
0-14,2020-08-06,14,4.0,3.0
0-14,2020-08-07,14,0.0,5.0
0-14,2020-08-08,14,4.0,0.0
0-14,2020-08-09,14,0.0,0.0
0-14,2020-08-10,14,6.0,3.0
0-14,2020-08-11,14,0.0,2.0
0-14,2020-08-12,14,2.0,6.0
0-14,2020-08-13,14,6.0,3.0
0-14,2020-08-14,14,1.0,4.0
0-14,2020-08-15,14,0.0,0.0
0-14,2020-08-16,14,1.0,1.0
0-14,2020-08-17,14,3.0,2.0
0-14,2020-08-18,14,1.0,0.0
0-14,2020-08-19,14,0.0,2.0
0-14,2020-08-20,14,0.0,2.0
0-14,2020-08-21,14,0.0,2.0
0-14,2020-08-22,14,1.0,1.0
0-14,2020-08-23,14,7.0,0.0
0-14,2020-08-24,14,7.0,5.0
0-14,2020-08-25,14,4.0,4.0
0-14,2020-08-26,14,2.0,5.0
0-14,2020-08-27,14,2.0,2.0
0-14,2020-08-28,14,2.0,4.0
0-14,2020-08-29,14,1.0,2.0
0-14,2020-08-30,14,8.0,3.0
0-14,2020-08-31,14,1.0,5.0
0-14,2020-09-01,14,3.0,1.0
0-14,2020-09-02,14,3.0,2.0
0-14,2020-09-03,14,3.0,5.0
0-14,2020-09-04,14,1.0,1.0
0-14,2020-09-05,14,1.0,0.0
0-14,2020-09-06,14,1.0,1.0
0-14,2020-09-07,14,2.0,1.0
0-14,2020-09-08,14,2.0,4.0
0-14,2020-09-09,14,3.0,4.0
0-14,2020-09-10,14,3.0,4.0
0-14,2020-09-11,14,1.0,2.0
0-14,2020-09-12,14,1.0,0.0
0-14,2020-09-13,14,0.0,2.0
0-14,2020-09-14,14,2.0,0.0
0-14,2020-09-15,14,7.0,3.0
0-14,2020-09-16,14,1.0,0.0
0-14,2020-09-17,14,4.0,2.0
0-14,2020-09-18,14,4.0,2.0
0-14,2020-09-19,14,0.0,1.0
0-14,2020-09-20,14,4.0,2.0
0-14,2020-09-21,14,3.0,10.0
0-14,2020-09-22,14,4.0,1.0
0-14,2020-09-23,14,1.0,4.0
0-14,2020-09-24,14,1.0,3.0
0-14,2020-09-25,14,3.0,0.0
0-14,2020-09-26,14,1.0,2.0
0-14,2020-09-27,14,2.0,3.0
0-14,2020-09-28,14,3.0,2.0
0-14,2020-09-29,14,2.0,3.0
0-14,2020-09-30,14,9.0,5.0
0-14,2020-10-01,14,3.0,5.0
0-14,2020-10-02,14,2.0,4.0
0-14,2020-10-03,14,4.0,3.0
0-14,2020-10-04,14,3.0,0.0
0-14,2020-10-05,14,3.0,2.0
0-14,2020-10-06,14,2.0,1.0
0-14,2020-10-07,14,1.0,6.0
0-14,2020-10-08,14,2.0,4.0
0-14,2020-10-09,14,2.0,0.0
0-14,2020-10-10,14,3.0,4.0
0-14,2020-10-11,14,1.0,1.0
0-14,2020-10-12,14,2.0,2.0
0-14,2020-10-13,14,0.0,2.0
0-14,2020-10-14,14,3.0,0.0
0-14,2020-10-15,14,7.0,0.0
0-14,2020-10-16,14,3.0,4.0
0-14,2020-10-17,14,7.0,3.0
0-14,2020-10-18,14,3.0,1.0
0-14,2020-10-19,14,5.0,7.0
0-14,2020-10-20,14,1.0,4.0
0-14,2020-10-21,14,2.0,9.0
0-14,2020-10-22,14,3.0,4.0
0-14,2020-10-23,14,1.0,1.0
0-14,2020-10-24,14,1.0,3.0
0-14,2020-10-25,14,0.0,1.0
0-14,2020-10-26,14,5.0,1.0
0-14,2020-10-27,14,5.0,2.0
0-14,2020-10-28,14,3.0,3.0
0-14,2020-10-29,14,1.0,3.0
0-14,2020-10-30,14,2.0,5.0
0-14,2020-10-31,14,2.0,0.0
0-14,2020-11-01,14,3.0,1.0
0-14,2020-11-02,14,2.0,3.0
0-14,2020-11-03,14,3.0,3.0
0-14,2020-11-04,14,2.0,1.0
0-14,2020-11-05,14,2.0,4.0
0-14,2020-11-06,14,0.0,3.0
0-14,2020-11-07,14,0.0,1.0
0-14,2020-11-08,14,3.0,1.0
0-14,2020-11-09,14,3.0,3.0
0-14,2020-11-10,14,3.0,2.0
0-14,2020-11-11,14,2.0,2.0
0-14,2020-11-12,14,3.0,0.0
0-14,2020-11-13,14,3.0,4.0
0-14,2020-11-14,14,2.0,1.0
0-14,2020-11-15,14,5.0,1.0
0-14,2020-11-16,14,2.0,2.0
0-14,2020-11-17,14,4.0,4.0
0-14,2020-11-18,14,4.0,3.0
0-14,2020-11-19,14,5.0,7.0
0-14,2020-11-20,14,8.0,4.0
0-14,2020-11-21,14,3.0,1.0
0-14,2020-11-22,14,2.0,0.0
0-14,2020-11-23,14,2.0,9.0
0-14,2020-11-24,14,7.0,4.0
0-14,2020-11-25,14,1.0,7.0
0-14,2020-11-26,14,0.0,6.0
0-14,2020-11-27,14,0.0,2.0
0-14,2020-11-28,14,3.0,1.0
0-14,2020-11-29,14,1.0,1.0
0-14,2020-11-30,14,5.0,2.0
0-14,2020-12-01,14,2.0,2.0
0-14,2020-12-02,14,2.0,2.0
0-14,2020-12-03,14,3.0,4.0
0-14,2020-12-04,14,2.0,5.0
0-14,2020-12-05,14,5.0,1.0
0-14,2020-12-06,14,2.0,0.0
0-14,2020-12-07,14,3.0,4.0
0-14,2020-12-08,14,2.0,3.0
0-14,2020-12-09,14,4.0,4.0
0-14,2020-12-10,14,5.0,3.0
0-14,2020-12-11,14,1.0,6.0
0-14,2020-12-12,14,2.0,1.0
0-14,2020-12-13,14,2.0,3.0
0-14,2020-12-14,14,4.0,1.0
0-14,2020-12-15,14,3.0,2.0
0-14,2020-12-16,14,3.0,5.0
0-14,2020-12-17,14,1.0,2.0
0-14,2020-12-18,14,5.0,3.0
0-14,2020-12-19,14,6.0,1.0
0-14,2020-12-20,14,3.0,2.0
0-14,2020-12-21,14,1.0,5.0
0-14,2020-12-22,14,4.0,7.0
0-14,2020-12-23,14,3.0,5.0
0-14,2020-12-24,14,4.0,5.0
0-14,2020-12-25,14,2.0,1.0
0-14,2020-12-26,14,3.0,0.0
0-14,2020-12-27,14,2.0,1.0
0-14,2020-12-28,14,2.0,1.0
0-14,2020-12-29,14,2.0,2.0
0-14,2020-12-30,14,1.0,4.0
0-14,2020-12-31,14,0.0,1.0
15-59,2020-02-19,14,0.0,0.0
15-59,2020-02-22,14,0.0,0.0
15-59,2020-02-23,14,0.0,0.0
15-59,2020-02-25,14,0.0,0.0
15-59,2020-02-26,14,0.0,0.0
15-59,2020-02-27,14,0.0,0.0
15-59,2020-02-28,14,0.0,0.0
15-59,2020-02-29,14,0.0,0.0
15-59,2020-03-01,14,1.0,0.0
15-59,2020-03-02,14,0.0,0.0
15-59,2020-03-03,14,0.0,0.0
15-59,2020-03-04,14,1.0,0.0
15-59,2020-03-05,14,0.0,0.0
15-59,2020-03-06,14,2.0,0.0
15-59,2020-03-07,14,1.0,0.0
15-59,2020-03-08,14,2.0,0.0
15-59,2020-03-09,14,2.0,0.0
15-59,2020-03-10,14,4.0,0.0
15-59,2020-03-11,14,5.0,1.0
15-59,2020-03-12,14,6.0,2.0
15-59,2020-03-13,14,7.0,1.0
15-59,2020-03-14,14,5.0,4.0
15-59,2020-03-15,14,3.0,0.0
15-59,2020-03-16,14,6.0,11.0
15-59,2020-03-17,14,12.0,6.0
15-59,2020-03-18,14,5.0,14.0
15-59,2020-03-19,14,0.0,8.0
15-59,2020-03-20,14,6.0,5.0
15-59,2020-03-21,14,10.0,1.0
15-59,2020-03-22,14,5.0,3.0
15-59,2020-03-23,14,5.0,9.0
15-59,2020-03-24,14,3.0,6.0
15-59,2020-03-25,14,3.0,4.0
15-59,2020-03-26,14,2.0,6.0
15-59,2020-03-27,14,5.0,7.0
15-59,2020-03-28,14,1.0,2.0
15-59,2020-03-29,14,3.0,2.0
15-59,2020-03-30,14,5.0,4.0
15-59,2020-03-31,14,4.0,4.0
15-59,2020-04-01,14,2.0,2.0
15-59,2020-04-02,14,6.0,3.0
15-59,2020-04-03,14,7.0,8.0
15-59,2020-04-04,14,5.0,2.0
15-59,2020-04-05,14,1.0,2.0
15-59,2020-04-06,14,6.0,4.0
15-59,2020-04-07,14,7.0,5.0
15-59,2020-04-08,14,7.0,7.0
15-59,2020-04-09,14,3.0,4.0
15-59,2020-04-10,14,6.0,7.0
15-59,2020-04-11,14,3.0,1.0
15-59,2020-04-12,14,2.0,2.0
15-59,2020-04-13,14,8.0,9.0
15-59,2020-04-14,14,9.0,2.0
15-59,2020-04-15,14,4.0,7.0
15-59,2020-04-16,14,13.0,8.0
15-59,2020-04-17,14,8.0,10.0
15-59,2020-04-18,14,7.0,5.0
15-59,2020-04-19,14,9.0,1.0
15-59,2020-04-20,14,14.0,8.0
15-59,2020-04-21,14,17.0,15.0
15-59,2020-04-22,14,14.0,20.0
15-59,2020-04-23,14,21.0,15.0
15-59,2020-04-24,14,16.0,29.0
15-59,2020-04-25,14,14.0,7.0
15-59,2020-04-26,14,13.0,6.0
15-59,2020-04-27,14,16.0,17.0
15-59,2020-04-28,14,15.0,12.0
15-59,2020-04-29,14,10.0,17.0
15-59,2020-04-30,14,26.0,23.0
15-59,2020-05-01,14,21.0,13.0
15-59,2020-05-02,14,28.0,12.0
15-59,2020-05-03,14,23.0,12.0
15-59,2020-05-04,14,37.0,19.0
15-59,2020-05-05,14,23.0,21.0
15-59,2020-05-06,14,21.0,20.0
15-59,2020-05-07,14,21.0,36.0
15-59,2020-05-08,14,13.0,16.0
15-59,2020-05-09,14,33.0,20.0
15-59,2020-05-10,14,32.0,16.0
15-59,2020-05-11,14,35.0,39.0
15-59,2020-05-12,14,29.0,36.0
15-59,2020-05-13,14,35.0,25.0
15-59,2020-05-14,14,36.0,39.0
15-59,2020-05-15,14,39.0,46.0
15-59,2020-05-16,14,30.0,16.0
15-59,2020-05-17,14,46.0,24.0
15-59,2020-05-18,14,61.0,37.0
15-59,2020-05-19,14,70.0,71.0
15-59,2020-05-20,14,55.0,57.0
15-59,2020-05-21,14,61.0,45.0
15-59,2020-05-22,14,69.0,58.0
15-59,2020-05-23,14,77.0,38.0
15-59,2020-05-24,14,94.0,27.0
15-59,2020-05-25,14,144.0,80.0
15-59,2020-05-26,14,109.0,113.0
15-59,2020-05-27,14,99.0,119.0
15-59,2020-05-28,14,124.0,101.0
15-59,2020-05-29,14,134.0,126.0
15-59,2020-05-30,14,124.0,102.0
15-59,2020-05-31,14,112.0,68.0
15-59,2020-06-01,14,237.0,189.0
15-59,2020-06-02,14,161.0,152.0
15-59,2020-06-03,14,132.0,170.0
15-59,2020-06-04,14,141.0,147.0
15-59,2020-06-05,14,154.0,181.0
15-59,2020-06-06,14,129.0,78.0
15-59,2020-06-07,14,189.0,63.0
15-59,2020-06-08,14,195.0,210.0
15-59,2020-06-09,14,154.0,204.0
15-59,2020-06-10,14,156.0,206.0
15-59,2020-06-11,14,155.0,180.0
15-59,2020-06-12,14,140.0,150.0
15-59,2020-06-13,14,125.0,94.0
15-59,2020-06-14,14,137.0,70.0
15-59,2020-06-15,14,173.0,189.0
15-59,2020-06-16,14,140.0,162.0
15-59,2020-06-17,14,153.0,170.0
15-59,2020-06-18,14,130.0,156.0
15-59,2020-06-19,14,130.0,158.0
15-59,2020-06-20,14,179.0,106.0
15-59,2020-06-21,14,121.0,70.0
15-59,2020-06-22,14,145.0,190.0
15-59,2020-06-23,14,118.0,173.0
15-59,2020-06-24,14,136.0,150.0
15-59,2020-06-25,14,133.0,126.0
15-59,2020-06-26,14,167.0,166.0
15-59,2020-06-27,14,117.0,108.0
15-59,2020-06-28,14,138.0,78.0
15-59,2020-06-29,14,177.0,150.0
15-59,2020-06-30,14,171.0,181.0
15-59,2020-07-01,14,195.0,167.0
15-59,2020-07-02,14,150.0,168.0
15-59,2020-07-03,14,173.0,178.0
15-59,2020-07-04,14,168.0,99.0
15-59,2020-07-05,14,159.0,71.0
15-59,2020-07-06,14,209.0,193.0
15-59,2020-07-07,14,143.0,211.0
15-59,2020-07-08,14,143.0,171.0
15-59,2020-07-09,14,172.0,156.0
15-59,2020-07-10,14,209.0,187.0
15-59,2020-07-11,14,188.0,127.0
15-59,2020-07-12,14,182.0,81.0
15-59,2020-07-13,14,225.0,238.0
15-59,2020-07-14,14,197.0,251.0
